ds,aclose,close,high,low,open,volume,y,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
2015-11-17,8030,8030,8280,7980,8110,197266,8029.9999999999945,8.803232026663887,8.803232026663887,8.803232026663887,7561.520102381705,8059.930020266497,0.15964018654275622,0.15964018654275622,0.15964018654275622,0.15964018654275622,0.15964018654275622,0.15964018654275622,-0.03197917300691432,-0.03197917300691432,-0.03197917300691432,0.19161935954967058,0.19161935954967058,0.19161935954967058,7807.7508125442955
2015-11-18,7760,7760,8100,7750,8010,206662,7759.999999999996,8.804259462983154,8.804259462983154,8.804259462983154,7613.428880928114,8113.763464881195,0.16456588397551045,0.16456588397551045,0.16456588397551045,0.16456588397551045,0.16456588397551045,0.16456588397551045,-0.03435397131214978,-0.03435397131214978,-0.03435397131214978,0.1989198552876602,0.1989198552876602,0.1989198552876602,7854.370024956064
2015-11-19,7760,7760,7930,7740,7780,128846,7759.999999999996,8.805286899302422,8.805286899302422,8.805286899302422,7651.095096232005,8183.503862735998,0.17158788131292627,0.17158788131292627,0.17158788131292627,0.17158788131292627,0.17158788131292627,0.17158788131292627,-0.033594559228474145,-0.033594559228474145,-0.033594559228474145,0.20518244054140042,0.20518244054140042,0.20518244054140042,7917.848395103727
2015-11-20,7840,7840,7860,7600,7790,114134,7840.0,8.80631433562169,8.80631433562169,8.80631433562169,7690.208766826852,8203.499014455769,0.17409750435905155,0.17409750435905155,0.17409750435905155,0.17409750435905155,0.17409750435905155,0.17409750435905155,-0.036217406433088316,-0.036217406433088316,-0.036217406433088316,0.2103149107921398,0.2103149107921398,0.2103149107921398,7945.903882636192
2015-11-23,8510,8510,9200,8020,8060,1447412,8510.000000000005,8.809396644579493,8.809396644579493,8.809396644579493,7809.329661021566,8335.55700757046,0.18660924417657926,0.18660924417657926,0.18660924417657926,0.18660924417657926,0.18660924417657926,0.18660924417657926,-0.03170110893824252,-0.03170110893824252,-0.03170110893824252,0.21831035311482178,0.21831035311482178,0.21831035311482178,8070.78385692749
2015-11-24,8260,8260,8600,8120,8510,281810,8260.000000000005,8.81042408089876,8.81042408089876,8.81042408089876,7823.278277654828,8343.30022365017,0.18643115983822808,0.18643115983822808,0.18643115983822808,0.18643115983822808,0.18643115983822808,0.18643115983822808,-0.031979173006879955,-0.031979173006879955,-0.031979173006879955,0.21841033284510802,0.21841033284510802,0.21841033284510802,8077.641705135126
2015-11-25,8220,8220,8360,8090,8310,200786,8219.999999999998,8.811451517218028,8.811451517218028,8.811451517218028,7774.782018090599,8333.517155757416,0.18288165249589394,0.18288165249589394,0.18288165249589394,0.18288165249589394,0.18288165249589394,0.18288165249589394,-0.034353971312152044,-0.034353971312152044,-0.034353971312152044,0.21723562380804598,0.21723562380804598,0.21723562380804598,8057.294987774207
2015-11-26,8070,8070,8270,8070,8150,210201,8069.999999999996,8.812478953537298,8.812478953537298,8.812478953537298,7796.295363219852,8328.057347678876,0.18123037091598698,0.18123037091598698,0.18123037091598698,0.18123037091598698,0.18123037091598698,0.18123037091598698,-0.03359455922837933,-0.03359455922837933,-0.03359455922837933,0.21482493014436635,0.21482493014436635,0.21482493014436635,8052.27005003729
2015-11-27,7940,7940,8150,7940,8150,160854,7939.999999999998,8.813506389856565,8.813506389856565,8.813506389856565,7756.7565738375915,8296.838752609825,0.17502115202929128,0.17502115202929128,0.17502115202929128,0.17502115202929128,0.17502115202929128,0.17502115202929128,-0.036217406433264834,-0.036217406433264834,-0.036217406433264834,0.2112385584625561,0.2112385584625561,0.2112385584625561,8010.652856209972
2015-11-30,7750,7750,7910,7740,7910,168873,7750.000000000004,8.81658869881437,8.81658869881437,8.81658869881437,7690.64857654502,8188.0837629660955,0.16261878486788442,0.16261878486788442,0.16261878486788442,0.16261878486788442,0.16261878486788442,0.16261878486788442,-0.0317011089384194,-0.0317011089384194,-0.0317011089384194,0.1943198938063038,0.1943198938063038,0.1943198938063038,7936.339943599081
